id,url
composicao,https://www.sorocaba.unesp.br/#!/pesquisa/comissao-assessora-de-pesquisa/composicao
calendario,https://www.sorocaba.unesp.br/#!/pesquisa/comissao-assessora-de-pesquisa/calendario
congresso-de-iniciacao-cientifica-cic,https://www.sorocaba.unesp.br/#!/pesquisa/congresso-de-iniciacao-cientifica-cic
regulamento-da-1-fase,https://www.sorocaba.unesp.br/#!/pesquisa/congresso-de-iniciacao-cientifica-cic/regulamento-da-1-fase
cronograma,https://www.sorocaba.unesp.br/#!/pesquisa/congresso-de-iniciacao-cientifica-cic/cronograma
resultados,https://www.sorocaba.unesp.br/#!/pesquisa/congresso-de-iniciacao-cientifica-cic/resultados
classificados-2-fase-e-premiacao,https://www.sorocaba.unesp.br/#!/pesquisa/congresso-de-iniciacao-cientifica-cic/classificados-2-fase-e-premiacao
comissoes-de-etica-em-pesquisa,https://www.sorocaba.unesp.br/#!/pesquisa/comissoes-de-etica-em-pesquisa
comunidade,https://www.sorocaba.unesp.br/#!/comunidade
documentos,https://www.sorocaba.unesp.br/#!/comunidade/documentos
projetos,https://www.sorocaba.unesp.br/#!/comunidade/projetos
eventos,https://www.sorocaba.unesp.br/#!/comunidade/eventos
cultura-e-esportes,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes
agenda-de-eventos,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/agenda-de-eventos
eventos-realizados,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/eventos-realizados
comissao-cac,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/comissao-cac
normas,https://www.sorocaba.unesp.br/#!/comunidade/cultura-e-esportes/normas
esportes,https://www.sorocaba.unesp.br/#!/comunidade/esportes
apresentacao,https://www.sorocaba.unesp.br/#!/comunidade/esportes/apresentacao
eventos-realizados,https://www.sorocaba.unesp.br/#!/comunidade/esportes/eventos-realizados
comissao,https://www.sorocaba.unesp.br/#!/comunidade/esportes/comissao
links,https://www.sorocaba.unesp.br/#!/comunidade/esportes/links
ligas-academicas,https://www.sorocaba.unesp.br/#!/comunidade/ligas-academicas
apresentacao,https://www.sorocaba.unesp.br/#!/comunidade/ligas-academicas/apresentacao
ligas-academicas-credenciadas,https://www.sorocaba.unesp.br/#!/comunidade/ligas-academicas/ligas-academicas-credenciadas
empresa-junior---dinamica,https://www.sorocaba.unesp.br/#!/comunidade/empresa-junior---dinamica
comissao-permanente,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente
composicao,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/composicao
atas-da-cpeuc,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/atas-da-cpeuc
calendario,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/calendario
legislacao,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/legislacao
guias-e-tutoriais,https://www.sorocaba.unesp.br/#!/comunidade/comissao-permanente/guias-e-tutoriais
grupos-de-competicao,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao
home,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/home
team,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/team
ongoing-projects,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/ongoing-projects
history,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/history
publications,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/publications
students-team,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/students-team
photos,https://www.sorocaba.unesp.br/#!/comunidade/grupos-de-competicao/photos
internacional,https://www.sorocaba.unesp.br/#!/internacional
fale-conosco,https://www.sorocaba.unesp.br/#!/internacional/fale-conosco
concursos,https://www.sorocaba.unesp.br/#!/concursos
concurso-livre-docente,https://www.sorocaba.unesp.br/#!/concursos/concurso-livre-docente
concursos-abertos,https://www.sorocaba.unesp.br/#!/concursos/concurso-livre-docente/concursos-abertos
concurso-tecnico-administrativo,https://www.sorocaba.unesp.br/#!/concursos/concurso-tecnico-administrativo
transparencia,https://www.sorocaba.unesp.br/#!/transparencia
atividades-academicas,https://www.sorocaba.unesp.br/#!/transparencia/atividades-academicas
graduacao,https://www.sorocaba.unesp.br/#!/transparencia/atividades-academicas/graduacao
pos-graduacao,https://www.sorocaba.unesp.br/#!/transparencia/atividades-academicas/pos-graduacao
pesquisa,https://www.sorocaba.unesp.br/#!/transparencia/atividades-academicas/pesquisa
extensao,https://www.sorocaba.unesp.br/#!/transparencia/atividades-academicas/extensao
gestao,https://www.sorocaba.unesp.br/#!/transparencia/gestao
balancos,https://www.sorocaba.unesp.br/#!/transparencia/gestao/balancos
despesas-pagas,https://www.sorocaba.unesp.br/#!/transparencia/gestao/despesas-pagas
pdi,https://www.sorocaba.unesp.br/#!/transparencia/gestao/pdi
servico-de-aceso-a-informacao,https://www.sorocaba.unesp.br/#!/transparencia/servico-de-aceso-a-informacao
licitacoes,https://www.sorocaba.unesp.br/#!/transparencia/licitacoes
concorrencia-01-2025-sor-icts,https://www.sorocaba.unesp.br/#!/transparencia/licitacoes/concorrencia-01-2025-sor-icts
pregao-01-2025---emenda-parlamentar,https://www.sorocaba.unesp.br/#!/transparencia/licitacoes/pregao-01-2025---emenda-parlamentar
unesp-sorocaba-realiza-37-congresso-de-iniciacao-cientifica-e-destaca-projetos-inovadores-dos-alunos,https://www.sorocaba.unesp.br/#!/noticias/v/id::1770/unesp-sorocaba-realiza-37-congresso-de-iniciacao-cientifica-e-destaca-projetos-inovadores-dos-alunos
mudanca-climatica-e-cidades-resilientes-disciplina-oferecida-na-unesp-sorocaba-discute-emergencias-contemporaneas,https://www.sorocaba.unesp.br/#!/noticias/v/id::1774/mudanca-climatica-e-cidades-resilientes-disciplina-oferecida-na-unesp-sorocaba-discute-emergencias-contemporaneas
concursos-de-professor-assistente-rdidp-2025,https://www.sorocaba.unesp.br/#!/noticias/v/id::1773/concursos-de-professor-assistente-rdidp-2025
unesp-sorocaba-marca-presenca-no-congresso-brasileiro-de-eletronica-de-potencia-2025-com-apresentacoes-realizadas-por-professores-e-alunos,https://www.sorocaba.unesp.br/#!/noticias/v/id::1771/unesp-sorocaba-marca-presenca-no-congresso-brasileiro-de-eletronica-de-potencia-2025-com-apresentacoes-realizadas-por-professores-e-alunos
unesp-sobe-para-o-3-lugar-entre-as-melhores-universidades-do-brasil-em-ranking-internacional,https://www.sorocaba.unesp.br/#!/noticias/v/id::1772/unesp-sobe-para-o-3-lugar-entre-as-melhores-universidades-do-brasil-em-ranking-internacional
noticias,https://www.sorocaba.unesp.br/#!/noticias
biblioteca,https://www.sorocaba.unesp.br/#!/biblioteca
lmcmat,https://www.sorocaba.unesp.br/#!/lmcmat
lmna,https://www.sorocaba.unesp.br/#!/lmna
licitacoes,https://www.sorocaba.unesp.br/#!/licitacoes
pregao-presencial-n-01-2023,https://www.sorocaba.unesp.br/#!/licitacoes/pregao-presencial-n-01-2023
telefones,https://www.sorocaba.unesp.br/#!/telefones
teste1,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste1
teste2,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2
chefia-do-dea,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2/chefia-do-dea
conselho-do-dea,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2/conselho-do-dea
gestao-2020---2022,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2/conselho-do-dea/gestao-2020---2022
gestao-2022---2024,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2/conselho-do-dea/gestao-2022---2024
gestao-2024---2026,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-ambiental3152/teste2/conselho-do-dea/gestao-2024---2026
inicio,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/inicio
apresentacao,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/apresentacao
estrutura-administrativa,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa
conselho-do-deca,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/conselho-do-deca
gestao-2024-2026,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/conselho-do-deca/gestao-2024-2026
gestao-2022-2024,https://www.sorocaba.unesp.br/#!/ensino/departamentos/engenharia-de-controle-e-automacao/estrutura-administrativa/conselho-do-deca/gestao-2022-2024
